Country,EducationLevel,YearsOfExperience,Salary
United States of America,Bachelor's degree,19.0,160000.0
Slovakia,Less than Bachelor's degree,10.0,91295.0
Ukraine,Bachelor's degree,5.0,36000.0
Netherlands,Master's degree,15.0,152517.0
United States of America,Less than Bachelor's degree,28.0,168000.0
New Zealand,Bachelor's degree,16.0,122913.0
Denmark,Less than Bachelor's degree,8.0,127813.0
Ukraine,Bachelor's degree,24.0,30074.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,20.0,70063.0
Canada,Less than Bachelor's degree,12.0,98135.0
United States of America,Less than Bachelor's degree,25.0,155000.0
Other,Less than Bachelor's degree,5.0,108906.0
India,Bachelor's degree,5.0,19142.0
Netherlands,Bachelor's degree,13.0,69814.0
France,Bachelor's degree,30.0,25777.0
Greece,Bachelor's degree,10.0,42962.0
Ukraine,Bachelor's degree,2.0,30000.0
Germany,Master's degree,3.0,55164.0
Brazil,Bachelor's degree,8.0,26854.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,11.0,121018.0
Germany,Master's degree,7.0,42962.0
Germany,Upper than Master's degree,9.0,95592.0
France,Master's degree,17.0,85925.0
Other,Less than Bachelor's degree,12.0,25176.0
Belgium,Master's degree,5.0,48333.0
Other,Bachelor's degree,19.0,33419.0
United States of America,Less than Bachelor's degree,12.0,46000.0
India,Bachelor's degree,8.0,41872.0
Italy,Upper than Master's degree,6.0,45111.0
Sweden,Less than Bachelor's degree,30.0,62000.0
United States of America,Bachelor's degree,0.0,55000.0
Brazil,Less than Bachelor's degree,9.0,16112.0
Denmark,Master's degree,20.0,79201.0
France,Less than Bachelor's degree,26.0,64444.0
Slovakia,Less than Bachelor's degree,6.0,97052.0
Ukraine,Bachelor's degree,7.0,110000.0
Romania,Bachelor's degree,9.0,53703.0
Brazil,Bachelor's degree,10.0,36365.0
Brazil,Bachelor's degree,12.0,15974.0
Germany,Master's degree,3.0,56925.0
Brazil,Bachelor's degree,9.0,65271.0
Germany,Master's degree,9.0,64444.0
United States of America,Upper than Master's degree,12.0,70000.0
Netherlands,Less than Bachelor's degree,4.0,80000.0
Italy,Bachelor's degree,4.0,32222.0
France,Master's degree,18.0,112777.0
United States of America,Less than Bachelor's degree,22.0,130000.0
Italy,Upper than Master's degree,5.0,32222.0
Portugal,Upper than Master's degree,9.0,75184.0
United States of America,Bachelor's degree,25.0,163000.0
Austria,Upper than Master's degree,0.0,73487.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,15.0,95541.0
Poland,Master's degree,7.0,53205.0
Germany,Less than Bachelor's degree,16.0,72499.0
United States of America,Master's degree,16.0,155000.0
France,Bachelor's degree,15.0,42640.0
Switzerland,Less than Bachelor's degree,14.0,120330.0
United States of America,Master's degree,14.0,52840.0
Netherlands,Less than Bachelor's degree,4.0,171850.0
Poland,Bachelor's degree,4.0,64341.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,12.0,76433.0
United States of America,Bachelor's degree,14.0,180000.0
Portugal,Less than Bachelor's degree,23.0,96666.0
Israel,Bachelor's degree,9.0,121429.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,11.0,57325.0
Germany,Bachelor's degree,10.0,91295.0
United States of America,Bachelor's degree,2.0,77000.0
Canada,Upper than Master's degree,6.0,90866.0
Ukraine,Master's degree,3.0,36779.0
Poland,Bachelor's degree,5.0,57144.0
Other,Less than Bachelor's degree,30.0,48333.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,12.0,138216.0
Other,Bachelor's degree,4.0,63370.0
Switzerland,Master's degree,8.0,142614.0
Ukraine,Master's degree,2.0,19747.0
Netherlands,Master's degree,7.0,139628.0
Other,Less than Bachelor's degree,2.0,80000.0
Ukraine,Master's degree,5.0,27231.0
United States of America,Bachelor's degree,8.0,142000.0
Poland,Bachelor's degree,6.0,61866.0
Other,Bachelor's degree,20.0,72000.0
Germany,Bachelor's degree,10.0,69814.0
United States of America,Master's degree,14.0,190000.0
Austria,Master's degree,4.0,12889.0
Poland,Master's degree,12.0,74239.0
Norway,Less than Bachelor's degree,2.0,62706.0
Turkey,Master's degree,14.0,56710.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,17.0,89172.0
Israel,Master's degree,10.0,161905.0
United States of America,Bachelor's degree,12.0,145000.0
Germany,Bachelor's degree,16.0,56925.0
Sweden,Master's degree,12.0,76307.0
United States of America,Bachelor's degree,28.0,175000.0
France,Bachelor's degree,11.0,119221.0
Germany,Master's degree,5.0,85925.0
United States of America,Master's degree,30.0,180000.0
Ukraine,Less than Bachelor's degree,5.0,24684.0
Ukraine,Master's degree,5.0,43000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,4.0,57325.0
Poland,Bachelor's degree,5.0,79189.0
United States of America,Less than Bachelor's degree,9.0,70000.0
Canada,Bachelor's degree,17.0,50885.0
United States of America,Bachelor's degree,2.0,85000.0
United States of America,Master's degree,8.0,125000.0
Japan,Bachelor's degree,11.0,146381.0
Greece,Master's degree,10.0,38666.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,30.0,89108.0
United States of America,Bachelor's degree,20.0,135000.0
Other,Master's degree,3.0,25193.0
Germany,Bachelor's degree,22.0,96666.0
Sweden,Master's degree,6.0,57230.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,15.0,82802.0
United States of America,Less than Bachelor's degree,4.0,185000.0
Argentina,Less than Bachelor's degree,19.0,110000.0
Greece,Master's degree,4.0,32222.0
Ukraine,Master's degree,3.0,17772.0
Belgium,Master's degree,15.0,53703.0
United States of America,Bachelor's degree,10.0,153000.0
United States of America,Less than Bachelor's degree,3.0,135000.0
Germany,Master's degree,13.0,102036.0
United States of America,Bachelor's degree,19.0,185000.0
United States of America,Less than Bachelor's degree,26.0,110000.0
Other,Master's degree,10.0,30525.0
Canada,Less than Bachelor's degree,8.0,94501.0
Greece,Less than Bachelor's degree,9.0,49622.0
France,Upper than Master's degree,20.0,91295.0
Ireland,Bachelor's degree,1.0,59073.0
Germany,Less than Bachelor's degree,1.0,12373.0
Denmark,Less than Bachelor's degree,3.0,69121.0
Switzerland,Bachelor's degree,12.0,111417.0
Czech Republic,Less than Bachelor's degree,9.0,47952.0
Italy,Upper than Master's degree,3.0,48333.0
Germany,Master's degree,10.0,139628.0
Ukraine,Bachelor's degree,3.0,40383.0
Netherlands,Master's degree,28.0,83777.0
United States of America,Bachelor's degree,6.0,155000.0
France,Bachelor's degree,1.0,34370.0
Italy,Bachelor's degree,15.0,37592.0
Poland,Bachelor's degree,5.0,37120.0
Australia,Master's degree,15.0,79279.0
Germany,Bachelor's degree,18.0,58322.0
Poland,Bachelor's degree,3.0,46276.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,13.0,131210.0
Sweden,Less than Bachelor's degree,27.0,119230.0
Mexico,Less than Bachelor's degree,4.0,59300.0
France,Less than Bachelor's degree,14.0,48333.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,18.0,146496.0
New Zealand,Master's degree,4.0,86039.0
Canada,Less than Bachelor's degree,16.0,181732.0
Israel,Less than Bachelor's degree,12.0,139239.0
Canada,Bachelor's degree,8.0,83597.0
Germany,Upper than Master's degree,31.0,161109.0
Brazil,Bachelor's degree,9.0,29092.0
United States of America,Bachelor's degree,26.0,150000.0
Argentina,Less than Bachelor's degree,2.0,13302.0
Brazil,Bachelor's degree,10.0,13054.0
United States of America,Master's degree,28.0,165000.0
France,Master's degree,10.0,61222.0
United States of America,Bachelor's degree,17.0,65000.0
United States of America,Bachelor's degree,30.0,185000.0
Germany,Master's degree,8.0,75184.0
Brazil,Less than Bachelor's degree,19.0,29092.0
Ireland,Bachelor's degree,5.0,128887.0
United States of America,Less than Bachelor's degree,25.0,121000.0
Canada,Bachelor's degree,10.0,72693.0
United States of America,Less than Bachelor's degree,6.0,181000.0
Ukraine,Master's degree,8.0,59241.0
United States of America,Bachelor's degree,17.0,185000.0
United States of America,Less than Bachelor's degree,3.0,95000.0
Germany,Bachelor's degree,16.0,171850.0
Germany,Bachelor's degree,10.0,75184.0
Norway,Master's degree,8.0,112309.0
Other,Less than Bachelor's degree,5.0,34832.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,8.0,86472.0
Netherlands,Upper than Master's degree,9.0,48333.0
Russian Federation,Less than Bachelor's degree,20.0,134454.0
Russian Federation,Less than Bachelor's degree,0.0,13445.0
France,Master's degree,18.0,53703.0
Poland,Master's degree,16.0,95026.0
Czech Republic,Master's degree,14.0,43435.0
Sweden,Bachelor's degree,7.0,137353.0
Australia,Bachelor's degree,14.0,109670.0
Hungary,Less than Bachelor's degree,6.0,55438.0
Germany,Master's degree,9.0,83777.0
France,Bachelor's degree,1.0,10741.0
United States of America,Master's degree,14.0,122000.0
Germany,Master's degree,24.0,85925.0
United States of America,Less than Bachelor's degree,31.0,190000.0
Canada,Less than Bachelor's degree,6.0,87231.0
Poland,Bachelor's degree,3.0,44544.0
Norway,Bachelor's degree,11.0,73937.0
Canada,Bachelor's degree,10.0,89412.0
Finland,Less than Bachelor's degree,28.0,91295.0
New Zealand,Bachelor's degree,12.0,91570.0
Other,Less than Bachelor's degree,3.0,60147.0
United States of America,Bachelor's degree,6.0,50000.0
Germany,Less than Bachelor's degree,2.0,20450.0
New Zealand,Bachelor's degree,8.0,79894.0
Romania,Bachelor's degree,10.0,66242.0
Germany,Master's degree,5.0,89147.0
Other,Bachelor's degree,5.0,38140.0
Spain,Bachelor's degree,4.0,42962.0
United States of America,Less than Bachelor's degree,30.0,160000.0
United States of America,Master's degree,25.0,160000.0
Ukraine,Master's degree,8.0,90000.0
United States of America,Bachelor's degree,9.0,85000.0
United States of America,Upper than Master's degree,10.0,120000.0
United States of America,Bachelor's degree,9.0,180000.0
Portugal,Bachelor's degree,5.0,41244.0
Hungary,Bachelor's degree,3.0,30773.0
United States of America,Master's degree,2.0,115000.0
United States of America,Bachelor's degree,7.0,98000.0
Ukraine,Bachelor's degree,8.0,64629.0
Czech Republic,Less than Bachelor's degree,10.0,54902.0
Germany,Master's degree,2.0,10741.0
Denmark,Less than Bachelor's degree,25.0,108002.0
Denmark,Less than Bachelor's degree,30.0,79201.0
Germany,Less than Bachelor's degree,2.0,10741.0
Netherlands,Master's degree,12.0,64444.0
Canada,Bachelor's degree,1.0,107440.0
Mexico,Bachelor's degree,18.0,45284.0
Poland,Master's degree,8.0,71765.0
Spain,Less than Bachelor's degree,8.0,46185.0
Ukraine,Bachelor's degree,12.0,84000.0
United States of America,Bachelor's degree,5.0,65000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,11.0,57325.0
United States of America,Bachelor's degree,13.0,106000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,11.0,146496.0
Other,Less than Bachelor's degree,3.0,24000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,1.0,48407.0
United States of America,Less than Bachelor's degree,29.0,130000.0
Germany,Bachelor's degree,3.0,55851.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,25.0,165604.0
United States of America,Bachelor's degree,3.0,87000.0
United States of America,Less than Bachelor's degree,4.0,110000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,1.0,82802.0
United States of America,Bachelor's degree,4.0,80000.0
Spain,Less than Bachelor's degree,4.0,45111.0
United States of America,Master's degree,8.0,165000.0
Germany,Bachelor's degree,25.0,113851.0
Other,Master's degree,25.0,55000.0
United States of America,Bachelor's degree,3.0,67000.0
Belgium,Bachelor's degree,1.0,80555.0
Brazil,Master's degree,16.0,24616.0
Mexico,Less than Bachelor's degree,8.0,75473.0
Ukraine,Master's degree,14.0,18661.0
Italy,Master's degree,9.0,16111.0
Other,Bachelor's degree,8.0,31195.0
United States of America,Bachelor's degree,6.0,104000.0
United States of America,Master's degree,5.0,134000.0
Switzerland,Master's degree,4.0,100275.0
France,Master's degree,27.0,96666.0
Netherlands,Bachelor's degree,9.0,29043.0
Other,Bachelor's degree,10.0,39609.0
United States of America,Bachelor's degree,1.0,78634.0
United States of America,Upper than Master's degree,0.0,110000.0
Ukraine,Master's degree,5.0,12342.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,18.0,110827.0
Czech Republic,Bachelor's degree,7.0,17374.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,4.0,81528.0
Ukraine,Bachelor's degree,4.0,30000.0
France,Bachelor's degree,16.0,80555.0
Turkey,Bachelor's degree,3.0,24731.0
Canada,Less than Bachelor's degree,2.0,47250.0
United States of America,Bachelor's degree,30.0,160000.0
New Zealand,Bachelor's degree,27.0,110622.0
United States of America,Bachelor's degree,6.0,130000.0
New Zealand,Less than Bachelor's degree,14.0,81737.0
Denmark,Less than Bachelor's degree,3.0,10368.0
Canada,Master's degree,19.0,159924.0
Other,Bachelor's degree,4.0,31687.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,3.0,89172.0
United States of America,Less than Bachelor's degree,2.0,84000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,2.0,70063.0
Bulgaria,Bachelor's degree,11.0,41192.0
Mexico,Bachelor's degree,5.0,43127.0
United States of America,Bachelor's degree,6.0,180000.0
Portugal,Bachelor's degree,0.0,21052.0
Portugal,Bachelor's degree,14.0,65000.0
Russian Federation,Bachelor's degree,3.0,24202.0
United States of America,Bachelor's degree,12.0,100000.0
Germany,Less than Bachelor's degree,22.0,61222.0
India,Bachelor's degree,17.0,68192.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,3.0,50955.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,11.0,110827.0
Germany,Master's degree,9.0,107406.0
United States of America,Less than Bachelor's degree,10.0,70000.0
Argentina,Bachelor's degree,12.0,126000.0
Pakistan,Bachelor's degree,3.0,17227.0
United States of America,Less than Bachelor's degree,2.0,36000.0
United States of America,Bachelor's degree,30.0,80000.0
Australia,Bachelor's degree,12.0,62763.0
United States of America,Less than Bachelor's degree,7.0,155000.0
Ukraine,Less than Bachelor's degree,2.0,111702.0
United States of America,Bachelor's degree,2.0,95000.0
Switzerland,Bachelor's degree,2.0,108074.0
United States of America,Bachelor's degree,5.0,100000.0
Denmark,Less than Bachelor's degree,15.0,64801.0
Denmark,Master's degree,10.0,76465.0
United States of America,Master's degree,7.0,175000.0
United States of America,Bachelor's degree,11.0,175000.0
United States of America,Bachelor's degree,25.0,186000.0
United States of America,Master's degree,31.0,165000.0
Ukraine,Upper than Master's degree,3.0,23697.0
Brazil,Bachelor's degree,4.0,14360.0
Canada,Bachelor's degree,9.0,76328.0
Australia,Bachelor's degree,29.0,85886.0
United States of America,Less than Bachelor's degree,25.0,105000.0
